ward,polling_district
Wembley Park,WWK1
Wembley Park,WWK2
Harlesden and Kensal Green,QHK1
Harlesden and Kensal Green,QHK2
Harlesden and Kensal Green,QHK3
Harlesden and Kensal Green,QHK4
Harlesden and Kensal Green,QHK5
Harlesden and Kensal Green,QHK6
Willesden Green,EWN1
Willesden Green,EWN2
Willesden Green,EWN3
Willesden Green,EWN4
Kilburn,QKI1
Kilburn,QKI2
Kilburn,QKI3
Kilburn,QKI4
Brondesbury Park,EBP1
Brondesbury Park,EBP2
Brondesbury Park,EBP3
Brondesbury Park,EBP4
Brondesbury Park,EBP5
Northwick Park,WNP1
Northwick Park,WNP2
Northwick Park,WNP3
Northwick Park,WNP4
Northwick Park,WNP5
Roundwood,ERW1
Roundwood,ERW2
Roundwood,ERW3
Roundwood,ERW4
Roundwood,ERW5
